kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
8456679,K00102.02,Kepler-1990 c,CONFIRMED,FALSE POSITIVE,0.491,0,0,1,0,4.06844957,1.212e-05,-1.212e-05,132.27614,0.00255,-0.00255,0.55,0.377,-0.337,2.8349,0.069,-0.069,79.8,3.0,-3.0,0.98,0.17,-0.1,1170.0,,,442.08,202.37,-112.86,29.3,2,q1_q17_dr25_tce,5751.0,103.0,-114.0,4.391,0.08,-0.12,1.071,0.177,-0.109,299.70474,44.435749,12.566
2444412,K00103.01,Kepler-1710 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,14.91095177,1.275e-05,-1.275e-05,141.336726,0.000711,-0.000711,0.014,0.339,-0.014,3.325,0.024,-0.024,864.5,8.7,-8.7,2.62,0.33,-0.17,694.0,,,54.87,19.92,-10.44,116.9,1,q1_q17_dr25_tce,5650.0,101.0,-112.0,4.5,0.045,-0.105,0.899,0.114,-0.057,291.68335,37.751591,12.593
10318874,K00104.01,Kepler-94 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.508057497,3.78e-07,-3.78e-07,135.000657,0.000124,-0.000124,0.742,0.047,-0.143,1.1134,0.0167,-0.0167,1507.6,6.2,-6.2,3.25,0.16,-0.12,997.0,,,234.06,45.09,-33.11,312.7,1,q1_q17_dr25_tce,4780.0,95.0,-95.0,4.597,0.015,-0.051,0.761,0.038,-0.027,281.19473,47.497131,12.895
8711794,K00105.01,Kepler-463 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.981014925,3.085e-06,-3.085e-06,136.649307,0.000279,-0.000279,0.097,0.242,-0.097,1.8478,0.0116,-0.0116,1059.3,6.4,-6.4,3.14,0.43,-0.48,880.0,,,141.77,58.27,-46.97,198.3,1,q1_q17_dr25_tce,5666.0,124.0,-102.0,4.362,0.156,-0.104,0.967,0.133,-0.147,298.93704,44.85791,12.87
10489525,K00106.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,1.612249049,4.354e-06,-4.354e-06,131.85204,0.00231,-0.00231,1.171,0.71,-0.135,4.235,0.13,-0.13,154.0,4.1,-4.1,50.98,10.63,-17.29,2713.0,,,12788.25,8056.8,-7938.71,45.4,1,q1_q17_dr25_tce,6732.0,187.0,-234.0,3.793,0.292,-0.097,2.569,0.536,-0.871,298.35434,47.672081,12.775
11250587,K00107.01,Kepler-464 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.256962446,5.839e-06,-5.839e-06,134.023923,0.000661,-0.000661,0.676,0.073,-0.481,4.9402,0.0238,-0.0238,463.2,3.1,-3.1,3.53,0.21,-0.17,1163.0,,,432.1,75.83,-61.01,168.3,1,q1_q17_dr25_tce,5858.0,70.0,-79.0,4.112,0.024,-0.02,1.549,0.091,-0.074,294.83517,48.982361,12.702
4914423,K00108.01,Kepler-103 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,15.96532718,1.368e-05,-1.368e-05,142.178033,0.000688,-0.000688,0.674,0.026,-0.46,4.5837,0.0231,-0.0231,482.2,3.8,-3.8,3.33,0.21,-0.17,872.0,,,136.42,26.02,-19.76,144.2,1,q1_q17_dr25_tce,5880.0,78.0,-78.0,4.154,0.033,-0.027,1.433,0.09,-0.072,288.98456,40.064529,12.287
4914423,K00108.02,Kepler-103 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,179.609803,0.0001823,-0.0001823,295.330361,0.000447,-0.000447,0.711,0.011,-0.4,13.755,0.119,-0.119,1273.0,7.7,-7.7,5.47,0.34,-0.28,389.0,,,5.41,1.03,-0.78,184.6,2,q1_q17_dr25_tce,5880.0,78.0,-78.0,4.154,0.033,-0.027,1.433,0.09,-0.072,288.98456,40.064529,12.287
4752451,K00109.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,6.41496453,1.252e-05,-1.252e-05,132.86482,0.00157,-0.00157,1.187,6.629,-0.013,3.9015,0.0902,-0.0902,201.2,4.4,-4.4,25.79,5.27,-5.28,1153.0,,,417.97,257.72,-184.3,53.1,1,q1_q17_dr25_tce,6170.0,169.0,-188.0,4.259,0.186,-0.124,1.183,0.242,-0.242,293.45428,39.803928,12.385
9450647,K00110.01,Kepler-465 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.940666412,6.982e-06,-6.982e-06,135.21559,0.000582,-0.000582,0.02,0.229,-0.02,3.9092,0.0181,-0.0181,520.2,3.8,-3.8,2.87,0.5,-0.29,996.0,,,233.04,111.7,-60.9,161.4,1,q1_q17_dr25_tce,6215.0,111.0,-136.0,4.305,0.08,-0.12,1.259,0.219,-0.128,284.55573,46.063831,12.663
6678383,K00111.01,Kepler-104 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,11.427550984,8.15e-06,-8.15e-06,137.613711,0.000557,-0.000557,0.608,0.04,-0.409,4.6074,0.0175,-0.0175,500.9,3.3,-3.3,2.35,0.32,-0.27,852.0,,,124.31,48.42,-34.01,165.5,1,q1_q17_dr25_tce,5979.0,108.0,-120.0,4.394,0.11,-0.11,1.005,0.138,-0.113,287.60461,42.166779,12.596
6678383,K00111.02,Kepler-104 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,23.66834635,3.003e-05,-3.003e-05,132.71421,0.00104,-0.00104,0.758,0.085,-0.542,5.8297,0.0378,-0.0378,449.4,4.2,-4.2,2.32,0.31,-0.26,668.0,,,47.11,18.34,-12.89,112.8,3,q1_q17_dr25_tce,5979.0,108.0,-120.0,4.394,0.11,-0.11,1.005,0.138,-0.113,287.60461,42.166779,12.596
6678383,K00111.03,Kepler-104 d,CONFIRMED,CANDIDATE,0.978,0,0,0,0,51.75530504,8.535e-05,-8.535e-05,271.08808,0.00125,-0.00125,0.638,0.18,-0.412,7.4355,0.0579,-0.0579,609.2,5.6,-5.6,2.61,0.35,-0.3,515.0,,,16.6,6.47,-4.54,116.9,2,q1_q17_dr25_tce,5979.0,108.0,-120.0,4.394,0.11,-0.11,1.005,0.138,-0.113,287.60461,42.166779,12.596
10984090,K00112.01,Kepler-466 b,CONFIRMED,CANDIDATE,0.99,0,0,0,0,51.07926451,6.456e-05,-6.456e-05,185.18087,0.000981,-0.000981,0.017,0.267,-0.017,6.3729,0.0312,-0.0312,736.8,6.0,-6.0,2.75,0.39,-0.28,503.0,,,15.17,6.0,-3.96,126.8,1,q1_q17_dr25_tce,5833.0,105.0,-117.0,4.407,0.085,-0.114,1.022,0.143,-0.107,295.64871,48.49556,12.772
